"LST0007207","LST","受診者数について　その他健診４",,"2","110","","","","",""
"BANK16","BAN","銀行",,"スルガ銀行","","13","","","",""
"LST0007208","LST","受診者数について　その他健診５",,"2","170","","","","",""
"LST0007209","LST","受診者数について　その他健診６",,"2","175","","","","",""
"LST0007210","LST","受診者数について　その他健診７",,"2","150","","","","",""
"LST0007211","LST","受診者数について　その他健診８",,"2","200","","","","",""
"LST0007212","LST","受診者数について　その他健診９",,"2","195","","","","",""
"YUDOCS018","YDC","誘導対象コース",,"165","","","","","",""
"CTRCHK005","CTR","契約情報参照団体",,"03005-00000","内田洋行健康保険組合","","","","",""
"CTRCHK006","CTR","契約情報参照団体",,"12020-00000","シティグループ健康保険組合","","","","",""
"PATIENT01","PAT","個人票対象コース",,"100","","","","","",""
"PATIENT02","PAT","個人票対象コース",,"110","","","","","",""
"PATIENT04","PAT","個人票対象コース",,"170","","","","","",""
"CHGPERID02","CHP","個人ＩＤ変更情報",,"276578","8460477","6894948","","","",""
"OGR001","OGR","団体グループ使用区分",,"成績書グループ","","","","","",""
"CHGPERID01","CHP","個人ＩＤ変更情報",,"358599","7537000","7573000","","","",""
"CHGPERID03","CHP","個人ＩＤ変更情報",,"316864","8460477","6894948","","","",""
"SPTZK001","SPT","成績書過去結果出力団体",,"12073-00000","新生銀行","ZZ","","","",""
"OGR002","OGR","団体グループ使用区分",,"標準FPDグループ","","","","","",""
"OGR003","OGR","団体グループ使用区分",,"統計グループ","","","","","",""
"CHGPERID04","CHP","個人ＩＤ変更情報",,"290883","9154232","9154232","5797046","","",""
"CHGPERID05","CHP","個人ID変更情報",,"326038","8744889","9038332","","","",""
"UGR400","UGR","ユーザー大グループ",,"放射線科医","","","","","",""
"UGR500","UGR","ユーザー大グループ",,"看護師","","","","","",""
"UGR600","UGR","ユーザー大グループ",,"コメディカル","","","","","",""
"UGR700","UGR","ユーザー大グループ",,"事務","","","","","",""
"USR104","USR","ユーザー小グループ",,"面接のみ","UGR100","","","","",""
"USR201","USR","ユーザー小グループ",,"面接無","UGR200","","","","",""
"USR202","USR","ユーザー小グループ",,"面接有","UGR200","","","","",""
"USR301","USR","ユーザー小グループ",,"常勤","UGR300","","","","",""
"USR302","USR","ユーザー小グループ",,"非常勤","UGR300","","","","",""
"USR401","USR","ユーザー小グループ",,"放射線科医","UGR400","","","","",""
"USR501","USR","ユーザー小グループ",,"マネジャー","UGR500","","","","",""
"USR502","USR","ユーザー小グループ",,"インチャージ","UGR500","","","","",""
"USR503","USR","ユーザー小グループ",,"スタッフ","UGR500","","","","",""
"USR601","USR","ユーザー小グループ",,"マネジャー","UGR600","","","","",""
"USR602","USR","ユーザー小グループ",,"チーフ","UGR600","","","","",""
"USR603","USR","ユーザー小グループ",,"スタッフ検査","UGR600","","","","",""
"USR604","USR","ユーザー小グループ",,"スタッフ放射線","UGR600","","","","",""
"USR605","USR","ユーザー小グループ",,"栄養士","UGR600","","","","",""
"USR606","USR","ユーザー小グループ",,"心理士","UGR600","","","","",""
"USR701","USR","ユーザー小グループ",,"管理マネジャー","UGR700","","","","",""
"USR702","USR","ユーザー小グループ",,"リーダ","UGR700","","","","",""
"USR703","USR","ユーザー小グループ",,"スタッフ","UGR700","","","","",""
"USR704","USR","ユーザー小グループ",,"システムサブリーダー","UGR700","","","","",""
"USR705","USR","ユーザー小グループ",,"システムスタッフ","UGR700","","","","",""
"USR706","USR","ユーザー小グループ",,"コールセンターサブリーダー","UGR700","","","","",""
"USR707","USR","ユーザー小グループ",,"コールセンタースタッフ","UGR700","","","","",""
"USR708","USR","ユーザー小グループ",,"総務サブリーダー","UGR700","","","","",""
"USR709","USR","ユーザー小グループ",,"総務スタッフ","UGR700","","","","",""
"USR710","USR","ユーザー小グループ",,"営業事務","UGR700","","","","",""
"USR711","USR","ユーザー小グループ",,"営業","UGR700","","","","",""
"USR712","USR","ユーザー小グループ",,"ドック事務サブリーダー","UGR700","","","","",""
"USR713","USR","ユーザー小グループ",,"ドック事務スタッフ（全日）","UGR700","","","","",""
"USR714","USR","ユーザー小グループ",,"ドック事務スタッフ（半日）","UGR700","","","","",""
"MENU001","PGM","メニューグループ",,"受診者一覧","H","1","","","",""
"MENU002","PGM","メニューグループ",,"予約","H","2","","","",""
"MENU003","PGM","メニューグループ",,"当日","H","3","","","",""
"MENU004","PGM","メニューグループ",,"結果","H","4","","","",""
"MENU005","PGM","メニューグループ",,"判定支援","H","5","","","",""
"MENU006","PGM","メニューグループ",,"結果参照","H","6","","","",""
"MENU007","PGM","メニューグループ",,"印刷","H","7","","","",""
"MENU008","PGM","メニューグループ",,"請求","H","8","","","",""
"MENU009","PGM","メニューグループ",,"データ抽出","H","9","","","",""
"MENU010","PGM","メニューグループ",,"メンテナンス","H","10","","","",""
"MENU011","PGM","メニューグループ",,"誘導支援","Y","11","","","",""
"YUDOCS019","YDC","誘導対象コース",,"137","","","","","",""
"MENU012","PGM","メニューグループ",,"誘導管理者","Y","12","","","",""
"METADIS47","MBS","メタボリックシンドローム",,"105001","105002","47","","","",""
"YUDOCS020","YDC","誘導対象コース",,"138","","","","","",""
"METADIS19","MBS","メタボリックシンドローム",,"105001","105002","19","","","",""
"METADIS48","MBS","メタボリックシンドローム",,"105001","105002","48","","","",""
"CSC0108","CSC","コースグループ０１－０８",,"150","","","","","",""
"SCHEDULE1","SCD","スケジュール表印刷",,"1","１群","","","","",""
"SCHEDULE2","SCD","スケジュール表印刷",,"2","２群","","","","",""
"SCHEDULE3","SCD","スケジュール表印刷",,"3","３群","","","","",""
"SCHEDULE4","SCD","スケジュール表印刷",,"4","４群","","","","",""
"BANK17","BAN","銀行",,"三菱東京UFJ","","2","","","",""
"SCHEDULE6","SCD","スケジュール表印刷",,"6","６群","","","","",""
"SCHEDULE7","SCD","スケジュール表印刷",,"7","７群","","","","",""
"SCHEDULE8","SCD","スケジュール表印刷",,"8","８群","","","","",""
"SCHEDULE50","SCD","スケジュール表印刷",,"50","AM企業健診","","","","",""
"SCHEDULE51","SCD","スケジュール表印刷",,"51","ＰＭ企業健診","","","","",""
"SCHEDULE100","SCD","スケジュール表印刷",,"100","肺ドック","","","","",""
"YUDOCS021","YDC","誘導対象コース",,"139","","","","","",""
"GYNECLASS01","GYN","子宮細胞診結果コード",,"1030","クラス－Ⅰ","","","","",""
"SCHEDULE250","SCD","スケジュール表印刷",,"250","渡航内科","","","","",""
"YUDOCS022","YDC","誘導対象コース",,"233","","","","","",""
"SCHEDULE5","SCD","スケジュール表印刷",,"5","５群","","","","",""
"LST003008","LST","成績書今回対象コース",,"233","","","","","",""
"BANK18","BAN","銀行",,"りそな","","6","","","",""
"BANK19","BAN","銀行",,"その他","","14","","","",""
"USR607","USR","ユーザー小グループ",,"スタッフ内視鏡","UGR600","","","","",""
"UGR999","UGR","ユーザー大グループ",,"使用停止","","","","","",""
