127.0.0.1 - - [04/May/2017:20:37:18 +0800] "GET / HTTP/1.1" 200 4295
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:22 +0800] "GET /user/logout.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:22 +0800] "GET /login.html HTTP/1.1" 200 4295
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:22 +0800] "GET /Apollo/madmin/vendors/iCheck/skins/all.css HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:22 +0800] "GET /Apollo/madmin/vendors/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 25585
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:22 +0800] "GET /Apollo/madmin/vendors/jquery-ui-1.10.4.custom/css/ui-lightness/jquery-ui-1.10.4.custom.min.css HTTP/1.1" 200 32329
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:22 +0800] "GET /Apollo/madmin/css/style-responsive.css HTTP/1.1" 200 7223
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:22 +0800] "GET /Apollo/madmin/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:22 +0800] "GET /Apollo/madmin/vendors/animate.css/animate.css HTTP/1.1" 200 65258
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:22 +0800] "GET /Apollo/madmin/vendors/iCheck/skins/minimal/all.css HTTP/1.1" 200 13412
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:22 +0800] "GET /Apollo/madmin/vendors/iCheck/skins/flat/all.css HTTP/1.1" 200 11694
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:22 +0800] "GET /Apollo/madmin/vendors/iCheck/skins/square/all.css HTTP/1.1" 200 13272
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/vendors/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 134935
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/js/jquery-1.10.2.min.js HTTP/1.1" 200 93107
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/vendors/iCheck/skins/line/all.css HTTP/1.1" 200 18230
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/css/themes/style1/pink-blue.css HTTP/1.1" 200 214286
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/vendors/iCheck/skins/polaris/polaris.css HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/vendors/iCheck/skins/futurico/futurico.css HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/vendors/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 31819
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/vendors/bootstrap-hover-dropdown/bootstrap-hover-dropdown.js HTTP/1.1" 200 3216
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/js/html5shiv.js HTTP/1.1" 200 2429
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/vendors/iCheck/icheck.min.js HTTP/1.1" 200 4931
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/js/respond.min.js HTTP/1.1" 200 4047
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/vendors/iCheck/custom.min.js HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/vendors/jquery-validate/message_zh.js HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/vendors/jquery-validate/jquery.validate.min.js HTTP/1.1" 200 26462
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /login.js HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/vendors/font-awesome/fonts/fontawesome-webfont.woff?v=4.1.0 HTTP/1.1" 200 83760
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/images/bg/1.jpg HTTP/1.1" 200 130423
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/js/jquery-ui.js HTTP/1.1" 200 594443
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:23 +0800] "GET /Apollo/madmin/vendors/iCheck/skins/minimal/grey.png HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [04/May/2017:20:37:29 +0800] "POST /user/login.action HTTP/1.1" 200 51
